label,objective,sharpe_ann,nav,alpha_cum,max_dd,cvar_10,evar_10,turnover,calmar_like,avg_abs_pos
Ensemble_v92_RiskAware,3.6331995416327194,3.781145440692248,1.3811334334806418,-27.174319488431728,-0.08399105776953908,0.03123614060186797,2.063391307256211,0.1357952602502578,45.01842864114459,0.13568130265455866
ElasticNet_v92_RiskAware,3.579864770996271,3.73824589556709,1.4090376352082172,-25.16316256522756,-0.12142499999999723,0.048681453473144835,2.050219348164438,0.15059570442373144,30.78645991819786,0.15143436103957458
LogReg_v92_RiskAware,3.22642837924747,3.382541341571336,1.3339176421381536,-30.66166194587387,-0.13827330552831363,0.040285013941525394,2.0913379012722206,0.11717035574918133,24.4627213376244,0.12021464170743786
MLP_v92_RiskAware,3.1863567659506575,3.357252760373239,1.3638466750397025,-28.430985442994757,-0.18365103436120966,0.08195055125002068,2.078854990274975,0.13670007311906404,18.28060904775579,0.13655837314949976
ElasticNet_v92_LogitStrength,2.636051920972815,3.209497649928664,5.632953358258399,115.9666823209388,-1.7920382874398455,0.3741733696600154,1.5879723103574148,0.7077317606300257,1.7909760480139292,0.6672899523322519
Ensemble_v92_LogitStrength,2.6212912573036986,2.994989579379813,4.480506483217763,92.57620591496307,-0.8664695142120205,0.21662309782271685,1.6046222972757178,0.6008642341417351,3.456543513944052,0.553794715006866
LogReg_v92_LogitStrength,2.319020644032457,2.6919597336069754,3.904348671109418,78.67609628095038,-0.8639022599360446,0.28037125518474454,1.7081457647678604,0.547998470664289,3.116046639125893,0.49508926895934696
MLP_v92_LogitStrength,2.2695152754819294,2.7680960867733098,4.394708404082416,90.79530733543133,-1.3333203090955315,0.5410068551062497,1.7288040962227087,0.6443120121727479,2.0760923447202795,0.6032966154938701
